# Spacecraft Trajectory — apollo11 (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
0.020000,-6531.812,782.021,2387.1712,38896.4857,38969.6701,6578.459,390932.594,0.000,0.000,384400.000,-0.000
0.420000,-272.415,12386.609,20159.6243,19418.3348,27990.7517,12389.605,384871.829,0.000,0.000,384400.039,0.000
0.820000,7649.079,18174.870,18649.3933,11208.6043,21758.5082,19718.882,377189.201,0.000,0.000,384400.147,-0.000
1.220000,14838.090,21767.338,16794.9384,7718.6631,18483.7149,26343.612,370202.733,0.000,0.000,384400.326,0.000
1.620000,21377.649,24278.646,15339.7349,5790.0614,16396.1056,32348.980,363833.888,0.000,0.000,384400.575,0.000
2.020000,27408.490,26133.588,14195.1021,4556.4179,14908.4496,37870.697,357947.679,0.000,0.000,384400.894,0.000
2.420000,33032.575,27539.560,13268.0172,3693.2235,13772.4428,43006.725,352446.303,0.000,0.000,384401.283,0.000
2.820000,38321.780,28614.302,12496.3366,3051.7895,12863.5861,47826.114,347260.880,0.000,0.000,384401.743,0.000
3.220000,43328.192,29431.660,11839.3813,2554.2116,12111.7689,52378.954,342341.571,0.000,0.000,384402.272,0.000
3.620000,48090.784,30041.334,11269.7790,2155.6043,11474.0816,56702.780,337651.155,0.000,0.000,384402.872,0.000
4.020000,52639.571,30478.589,10768.4819,1828.2100,10922.5709,60826.548,333161.036,0.000,0.000,384403.541,-0.000
4.420000,56998.243,30769.485,10321.8122,1553.8981,10438.1227,64773.149,328848.712,0.000,0.000,384404.281,0.000
4.820000,61185.886,30933.921,9919.6717,1320.2989,10007.1513,68561.068,324696.107,0.000,0.000,384405.091,-0.000
5.220000,65218.155,30987.500,9554.4238,1118.6680,9619.6898,72205.491,320688.458,0.000,0.000,384405.971,0.000
5.620000,69108.085,30942.734,9220.1711,942.6391,9268.2319,75719.087,316813.523,0.000,0.000,384406.921,0.000
6.020000,72866.670,30809.846,8912.2760,787.4602,8946.9971,79112.567,313061.032,0.000,0.000,384407.940,0.000
6.420000,76503.292,30597.325,8627.0332,649.5082,8651.4486,82395.084,309422.268,0.000,0.000,384409.030,0.000
6.820000,80026.031,30312.318,8361.4399,525.9695,8377.9664,85574.542,305889.772,0.000,0.000,384410.190,0.000
7.220000,83441.917,29960.921,8113.0326,414.6235,8123.6205,88657.827,302457.102,0.000,0.000,384411.420,0.000
