# Spacecraft Trajectory — artemis1 (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
0.020000,-6531.821,736.381,2390.0160,36622.4479,36700.3524,6573.198,390932.514,0.000,0.000,384400.000,-0.000
0.420000,23.771,11236.511,21417.2215,15400.1820,26379.2150,11236.536,384540.472,0.000,0.000,384400.039,0.000
0.820000,8244.319,14952.440,18836.8110,5155.0878,19529.4746,17074.667,376452.896,0.000,0.000,384400.147,-0.000
1.220000,15197.206,15915.381,15660.2571,735.5177,15677.5201,22005.781,369545.997,0.000,0.000,384400.326,0.000
1.620000,20972.025,15538.752,13012.6964,-1666.4330,13118.9659,26101.315,363760.586,0.000,0.000,384400.575,0.000
2.020000,25761.148,14379.478,10794.2363,-3154.8940,11245.8389,29502.646,358927.900,0.000,0.000,384400.894,0.000
2.420000,29706.778,12715.271,8876.3580,-4148.9658,9798.1451,32313.631,354922.344,0.000,0.000,384401.283,0.000
2.820000,32908.400,10707.910,7168.3624,-4840.6685,8649.7105,34606.678,351656.408,0.000,0.000,384401.743,0.000
3.220000,35436.045,8462.722,5608.1121,-5329.5550,7736.6064,36432.553,349068.826,0.000,0.000,384402.272,0.000
3.620000,37339.296,6054.577,4151.4827,-5671.5269,7028.5864,37826.987,347116.383,0.000,0.000,384402.872,0.000
4.020000,38652.928,3540.871,2765.4513,-5899.3514,6515.3717,38814.773,345768.745,0.000,0.000,384403.541,-0.000
4.420000,39400.375,968.788,1423.7496,-6032.1946,6197.9380,39412.283,345005.266,0.000,0.000,384404.281,0.000
4.820000,39595.844,-1620.177,104.0043,-6080.2859,6081.1754,39628.977,344813.054,0.000,0.000,384405.091,-0.000
5.220000,39245.482,-4187.022,-1214.3296,-6047.1186,6167.8391,39468.202,345185.884,0.000,0.000,384405.971,0.000
5.620000,38347.853,-6692.588,-2551.6808,-5930.1519,6455.8328,38927.478,346123.777,0.000,0.000,384406.921,0.000
6.020000,36893.798,-9094.920,-3930.0536,-5720.2985,6940.2547,37998.288,347633.135,0.000,0.000,384407.940,0.000
6.420000,34865.659,-11346.105,-5375.0208,-5399.9897,7619.1035,36665.356,349727.469,0.000,0.000,384409.030,0.000
6.820000,32235.736,-13387.857,-6918.4404,-4938.9852,8500.4936,34905.263,352428.831,0.000,0.000,384410.190,0.000
7.220000,28963.674,-15144.524,-8602.5411,-4285.8227,9611.0348,32684.110,355770.231,0.000,0.000,384411.420,0.000
7.620000,24992.327,-16510.831,-10486.4108,-3349.6158,11008.3940,29953.697,359799.425,0.000,0.000,384412.720,0.000
8.020000,20241.495,-17327.929,-12656.0977,-1957.4898,12806.5833,26645.361,364584.607,0.000,0.000,384414.090,0.000
8.420000,14600.031,-17330.371,-15235.5506,259.8876,15237.7670,22660.597,370221.345,0.000,0.000,384415.529,0.000
8.820000,7927.879,-16007.112,-18347.5873,4244.1927,18832.0772,17862.780,376829.292,0.000,0.000,384417.039,0.000
9.220000,193.415,-12141.796,-21333.2245,13113.1973,25041.2143,12143.336,384417.000,0.000,0.000,384418.618,-0.000
9.620000,-6422.293,-2289.838,-9054.0319,34765.4981,35925.1354,6818.300,390849.269,0.000,0.000,384420.268,0.000
10.020000,-1228.143,9647.712,20843.2331,20106.5511,28960.5553,9725.569,385770.788,0.000,0.000,384421.987,0.000
10.420000,7598.718,13745.946,19652.1008,6922.3281,20835.6352,15706.417,377075.689,0.000,0.000,384423.776,0.000
10.820000,14975.809,14531.416,16395.3807,1611.8449,16474.4211,20867.125,369735.494,0.000,0.000,384425.635,0.000
11.220000,20987.740,13867.630,13626.3065,-1146.8475,13674.4831,25155.445,363704.297,0.000,0.000,384427.563,0.000
11.620000,25894.385,12417.337,11319.0300,-2814.1979,11663.6251,28717.754,358750.140,0.000,0.000,384429.561,0.000
12.020000,29879.580,10489.566,9339.2279,-3912.4923,10125.6493,31667.338,354707.184,0.000,0.000,384431.629,0.000
12.420000,33068.212,8256.499,7587.7977,-4671.8601,8910.7211,34083.375,351462.548,0.000,0.000,384433.766,0.000
12.820000,35546.861,5826.829,5996.9378,-5208.5929,7943.0916,36021.262,348937.766,0.000,0.000,384435.974,0.000
13.220000,37376.686,3276.183,4518.9922,-5586.9615,7185.7796,37519.995,347077.027,0.000,0.000,384438.250,0.000
13.620000,38601.124,661.744,3118.7620,-5844.3915,6624.4689,38606.795,345840.106,0.000,0.000,384440.596,0.000
14.020000,39250.553,-1969.840,1768.6698,-6002.9243,6258.0583,39299.951,345198.080,0.000,0.000,384443.012,0.000
14.420000,39345.133,-4577.665,445.6214,-6074.7860,6091.1086,39610.535,345130.724,0.000,0.000,384445.497,-0.000
14.820000,38896.489,-7123.269,-871.2011,-6065.0778,6127.3290,39543.367,345624.975,0.000,0.000,384448.052,-0.000
15.220000,37908.591,-9567.972,-2202.1048,-5972.8074,6365.8223,39097.409,346674.145,0.000,0.000,384450.676,-0.000
15.620000,36378.000,-11870.296,-3568.5533,-5790.6821,6801.9535,38265.687,348277.715,0.000,0.000,384453.370,0.000
16.020000,34293.533,-13982.941,-4995.0566,-5503.5792,7432.3600,37034.701,350441.677,0.000,0.000,384456.132,0.000
16.420000,31635.300,-15848.669,-6511.6673,-5085.0502,8261.9336,35383.224,353179.443,0.000,0.000,384458.964,0.000
16.820000,28372.964,-17393.946,-8157.6663,-4490.1763,9311.7776,33280.241,356513.471,0.000,0.000,384461.866,0.000
17.220000,24463.015,-18518.080,-9987.3740,-3640.5964,10630.2202,30681.565,360477.781,0.000,0.000,384464.836,0.000
17.620000,19844.922,-19072.721,-12079.3768,-2390.4323,12313.6311,27524.346,365121.441,0.000,0.000,384467.876,0.000
18.020000,14437.322,-18818.379,-14548.5867,-438.1674,14555.1834,23718.509,370511.866,0.000,0.000,384470.984,0.000
18.420000,8144.289,-17317.159,-17534.4835,2947.0361,17780.4143,19136.704,376728.095,0.000,0.000,384474.162,-0.000
18.820000,954.439,-13606.998,-20815.6534,10019.6757,23101.6304,13640.430,383764.275,0.000,0.000,384477.409,0.000
19.220000,-5881.315,-5058.422,-16780.5154,28742.9575,33282.7779,7757.416,390394.813,0.000,0.000,384480.725,0.000
19.620000,-2717.685,7849.429,18469.9461,26056.3347,31938.5580,8306.585,387281.349,0.000,0.000,384484.109,0.000
20.020000,6703.678,12608.869,20413.9367,9116.4774,22357.0788,14280.157,377994.242,0.000,0.000,384487.563,0.000
20.420000,14550.887,13242.730,17160.1943,2634.8992,17361.3065,19674.812,370177.147,0.000,0.000,384491.085,0.000
20.820000,20812.727,12279.777,14265.5597,-560.6554,14276.5727,24165.317,363889.204,0.000,0.000,384494.676,0.000
21.220000,25834.411,10523.482,11861.9168,-2437.0635,12109.6799,27895.528,358818.274,0.000,0.000,384498.335,0.000
21.620000,29850.712,8320.077,9814.7116,-3653.3157,10472.5966,30988.525,354748.933,0.000,0.000,384502.064,0.000
22.020000,33016.186,5852.705,8016.0943,-4487.4483,9186.6729,33530.921,351538.399,0.000,0.000,384505.861,0.000
22.420000,35436.027,3232.882,6391.9842,-5076.0183,8162.3173,35583.192,349088.669,0.000,0.000,384509.726,0.000
22.820000,37184.014,536.276,4890.7718,-5493.1382,7354.8771,37187.881,347330.060,0.000,0.000,384513.660,0.000
23.220000,38312.790,-2180.830,3474.8163,-5781.5746,6745.4394,38374.808,346211.741,0.000,0.000,384517.662,0.000
23.620000,38859.943,-4872.943,2115.0563,-5966.5795,6330.3661,39164.279,345696.136,0.000,0.000,384521.733,0.000
24.020000,38851.698,-7500.307,787.5544,-6062.5396,6113.4792,39569.041,345755.534,0.000,0.000,384525.871,0.000
24.420000,38305.158,-10025.522,-528.8796,-6076.2267,6099.2003,39595.407,346370.043,0.000,0.000,384530.079,0.000
24.820000,37229.613,-12410.889,-1854.5241,-6008.1841,6287.8880,39243.780,347526.421,0.000,0.000,384534.354,0.000
25.220000,35627.161,-14615.908,-3210.4083,-5852.8199,6675.4942,38508.692,349217.532,0.000,0.000,384538.697,0.000
