# Spacecraft Trajectory — earth-escape (Earth-Moon-Sun)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,dist_Sun_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km,bx_Sun_km,by_Sun_km
0.050000,-6404.764,2103.054,3874.4640,40986.8247,41169.5430,6741.205,390810.423,149593594.324,0.000,0.000,384400.000,0.000,-149599985.453,65974.417
1.050000,1587.836,34522.467,8204.3113,28873.4788,30016.4705,34558.963,384365.632,149601272.277,0.000,0.000,384399.981,0.000,-149593584.819,1385442.655
2.050000,10585.419,62105.834,8045.7016,26993.1843,28166.7412,63001.474,378938.548,149609474.662,0.000,0.000,384399.929,0.000,-149575547.192,2704801.262
3.050000,19925.108,88318.287,7920.3449,26214.6584,27385.0357,90538.002,375022.603,149617570.655,0.000,0.000,384399.843,0.000,-149545874.073,4023945.836
4.050000,29639.217,113782.016,7835.6383,25783.9378,26948.2592,117579.038,372560.549,149625604.237,0.000,0.000,384399.722,0.000,-149504567.930,5342772.003
5.050000,39752.270,138726.070,7775.7739,25508.9548,26667.7602,144309.270,371519.422,149633607.104,0.000,0.000,384399.566,0.000,-149451632.195,6661175.420
6.050000,50278.285,163259.311,7731.4320,25317.5449,26471.7420,170825.960,371874.313,149641598.677,0.000,0.000,384399.374,0.000,-149387071.271,7979051.791
7.050000,61225.142,187440.759,7697.3130,25176.3243,26326.7152,197186.602,373598.011,149649591.373,0.000,0.000,384399.145,0.000,-149310890.523,9296296.880
8.050000,72597.122,211304.870,7670.2523,25067.6649,26214.8926,223428.043,376656.452,149657593.541,0.000,0.000,384398.877,0.000,-149223096.279,10612806.517
9.050000,84396.284,234872.554,7648.2594,24981.3587,26125.9288,249575.338,381007.202,149665611.044,0.000,0.000,384398.570,0.000,-149123695.834,11928476.611
10.050000,96623.246,258156.615,7630.0235,24911.0759,26053.3867,275646.312,386599.631,149673648.146,0.000,0.000,384398.221,0.000,-149012697.441,13243203.165
11.050000,109277.639,281164.717,7614.6479,24852.6790,25993.0475,301654.107,393376.051,149681708.040,0.000,0.000,384397.830,0.000,-148890110.312,14556882.283
12.050000,122358.392,303901.101,7601.4994,24803.3472,25942.0282,327608.692,401273.370,149689793.175,0.000,0.000,384397.393,-0.000,-148755944.621,15869410.183
13.050000,135863.916,326367.650,7590.1181,24761.0901,25898.2909,353517.816,410224.928,149697905.470,0.000,0.000,384396.909,0.000,-148610211.492,17180683.206
14.050000,149792.222,348564.568,7580.1628,24724.4623,25860.3539,379387.622,420162.310,149706046.452,0.000,0.000,384396.376,0.000,-148452923.007,18490597.832
15.050000,164141.007,370490.836,7571.3747,24692.3886,25827.1130,405223.062,431016.971,149714217.358,0.000,0.000,384395.790,0.000,-148284092.196,19799050.685
16.050000,178907.713,392144.528,7563.5544,24664.0520,25797.7289,431028.190,442721.602,149722419.199,0.000,0.000,384395.150,0.000,-148103733.038,21105938.547
17.050000,194089.567,413523.030,7556.5460,24638.8206,25771.5515,456806.366,455211.210,149730652.817,0.000,0.000,384394.452,-0.000,-147911860.457,22411158.370
18.050000,209683.611,434623.205,7550.2256,24616.1977,25748.0697,482560.408,468423.892,149738918.914,0.000,0.000,384393.693,0.000,-147708490.319,23714607.283
19.050000,225686.730,455441.508,7544.4938,24595.7872,25726.8758,508292.699,482301.365,149747218.087,0.000,0.000,384392.871,0.000,-147493639.430,25016182.606
20.050000,242095.665,475974.080,7539.2699,24577.2695,25707.6403,534005.277,496789.258,149755550.841,0.000,0.000,384391.981,0.000,-147267325.532,26315781.861
21.050000,258907.026,496216.814,7534.4874,24560.3837,25690.0944,559699.897,511837.239,149763917.614,0.000,0.000,384391.021,0.000,-147029567.295,27613302.779
22.050000,276117.308,516165.408,7530.0917,24544.9145,25674.0162,585378.079,527398.996,149772318.783,0.000,0.000,384389.985,0.000,-146780384.323,28908643.313
23.050000,293722.894,535815.408,7526.0368,24530.6829,25659.2212,611041.152,543432.121,149780754.675,0.000,0.000,384388.871,0.000,-146519797.139,30201701.648
24.050000,311720.063,555162.243,7522.2842,24517.5385,25645.5542,636690.281,559897.935,149789225.578,0.000,0.000,384387.675,0.000,-146247827.190,31492376.213
25.050000,330104.997,574201.251,7518.8012,24505.3542,25632.8842,662326.495,576761.256,149797731.745,0.000,0.000,384386.392,0.000,-145964496.837,32780565.685
26.050000,348873.784,592927.699,7515.5598,24494.0218,25621.0996,687950.706,593990.154,149806273.398,0.000,0.000,384385.017,0.000,-145669829.352,34066169.008
27.050000,368022.424,611336.804,7512.5362,24483.4487,25610.1046,713563.727,611555.700,149814850.737,0.000,0.000,384383.546,0.000,-145363848.915,35349085.395
28.050000,387546.828,629423.748,7509.7096,24473.5548,25599.8168,739166.286,629431.705,149823463.936,0.000,0.000,384381.975,0.000,-145046580.608,36629214.343
29.050000,407442.824,647183.690,7507.0619,24464.2709,25590.1647,764759.036,647594.478,149832113.155,0.000,0.000,384380.299,0.000,-144718050.409,37906455.638
30.050000,427706.162,664611.775,7504.5776,24455.5367,25581.0860,790342.566,666022.594,149840798.533,0.000,0.000,384378.511,0.000,-144378285.189,39180709.370
