# Spacecraft Trajectory — jupiter-io (Jupiter-Io)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Jupiter_km,dist_Io_km,bx_Jupiter_km,by_Jupiter_km,bx_Io_km,by_Io_km
0.001000,80109.562,199938.139,79986.8510,-50032.8522,94346.0791,215389.882,395888.387,0.000,0.000,421800.000,0.000
0.021000,82294.517,198688.142,79720.4626,-50689.7641,94471.1826,215056.657,393371.263,0.000,0.000,421799.999,0.000
0.041000,84467.293,197413.877,79447.5609,-51346.3734,94595.7980,214725.318,390852.392,0.000,0.000,421799.997,0.000
0.061000,86627.595,196115.427,79168.1148,-52002.6068,94719.9108,214395.898,388332.072,0.000,0.000,421799.994,0.000
0.081000,88775.129,194792.883,78882.0938,-52658.3898,94843.5066,214068.426,385810.607,0.000,0.000,421799.989,0.000
0.101000,90909.603,193446.338,78589.4686,-53313.6470,94966.5706,213742.934,383288.310,0.000,0.000,421799.982,0.000
0.121000,93030.723,192075.889,78290.2105,-53968.3017,95089.0880,213419.452,380765.503,0.000,0.000,421799.975,0.000
0.141000,95138.194,190681.637,77984.2921,-54622.2765,95211.0440,213098.011,378242.514,0.000,0.000,421799.966,0.000
0.161000,97231.723,189263.687,77671.6866,-55275.4926,95332.4235,212778.644,375719.683,0.000,0.000,421799.955,0.000
0.181000,99311.017,187822.149,77352.3685,-55927.8704,95453.2116,212461.379,373197.356,0.000,0.000,421799.943,0.000
0.201000,101375.783,186357.136,77026.3132,-56579.3293,95573.3929,212146.250,370675.891,0.000,0.000,421799.930,0.000
0.221000,103425.728,184868.765,76693.4972,-57229.7876,95692.9522,211833.287,368155.651,0.000,0.000,421799.915,0.000
0.241000,105460.559,183357.158,76353.8981,-57879.1626,95811.8741,211522.521,365637.013,0.000,0.000,421799.899,0.000
0.261000,107479.985,181822.440,76007.4946,-58527.3707,95930.1432,211213.984,363120.362,0.000,0.000,421799.882,0.000
0.281000,109483.713,180264.742,75654.2666,-59174.3274,96047.7437,210907.706,360606.094,0.000,0.000,421799.863,0.000
0.301000,111471.453,178684.196,75294.1951,-59819.9470,96164.6602,210603.720,358094.612,0.000,0.000,421799.843,0.000
0.321000,113442.915,177080.941,74927.2624,-60464.1431,96280.8769,210302.056,355586.334,0.000,0.000,421799.821,0.000
