# Spacecraft Trajectory — mars-approach (Mars-Phobos)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Mars_km,dist_Phobos_km,bx_Mars_km,by_Mars_km,bx_Phobos_km,by_Phobos_km
0.002000,3889.463,18.816,-73.3813,12599.7623,12599.9760,3889.508,5486.570,0.000,0.000,9376.000,0.000
0.042000,3873.094,394.494,-1535.3184,12495.4568,12589.4259,3893.133,5517.029,0.000,0.000,9376.001,0.000
0.082000,3827.234,766.716,-2966.5438,12204.5978,12559.9598,3903.277,5601.492,0.000,0.000,9376.004,0.000
0.122000,3752.633,1132.296,-4339.2650,11735.7981,12512.3210,3919.739,5736.241,0.000,0.000,9376.009,-0.000
0.162000,3650.487,1488.239,-5628.3581,11102.5373,12447.6805,3942.197,5915.787,0.000,0.000,9376.017,0.000
0.202000,3522.376,1831.818,-6812.3301,10322.2522,12367.5677,3970.225,6133.577,0.000,0.000,9376.026,0.000
0.242000,3370.190,2160.628,-7873.9471,9415.2431,12273.7869,4003.311,6382.673,0.000,0.000,9376.037,0.000
0.282000,3196.054,2472.628,-8800.5109,8403.5219,12168.3266,4040.873,6656.293,0.000,0.000,9376.050,0.000
0.322000,3002.244,2766.146,-9583.8102,7309.7159,12053.2720,4082.283,6948.176,0.000,0.000,9376.065,0.000
0.362000,2791.112,3039.884,-10219.8083,6156.1129,11930.7254,4126.887,7252.774,0.000,0.000,9376.082,-0.000
0.402000,2565.015,3292.893,-10708.1454,4963.9001,11802.7404,4174.020,7565.318,0.000,0.000,9376.101,0.000
0.442000,2326.264,3524.544,-11051.5356,3752.6160,11671.2710,4223.022,7881.809,0.000,0.000,9376.122,0.000
0.482000,2077.077,3734.493,-11255.1300,2539.8066,11538.1354,4273.253,8198.954,0.000,0.000,9376.145,0.000
0.522000,1819.543,3922.637,-11325.8989,1340.8606,11404.9942,4324.097,8514.088,0.000,0.000,9376.170,0.000
0.562000,1555.607,4089.072,-11272.0736,168.9887,11273.3402,4374.976,8825.085,0.000,0.000,9376.196,-0.000
0.602000,1287.053,4234.054,-11102.6658,-964.6911,11144.4971,4425.350,9130.274,0.000,0.000,9376.225,0.000
0.642000,1015.506,4357.965,-10827.0748,-2050.9964,11019.6250,4474.719,9428.360,0.000,0.000,9376.255,-0.000
0.682000,742.427,4461.273,-10454.7806,-3082.4815,10899.7307,4522.627,9718.359,0.000,0.000,9376.287,0.000
0.722000,469.124,4544.510,-9995.1147,-4053.2189,10785.6804,4568.660,9999.536,0.000,0.000,9376.320,-0.000
0.762000,196.764,4608.246,-9457.0995,-4958.5795,10678.2134,4612.445,10271.359,0.000,0.000,9376.355,0.000
0.802000,-73.618,4653.067,-8849.3448,-5795.0215,10577.9571,4653.649,10533.458,0.000,0.000,9376.392,0.000
0.842000,-341.107,4679.562,-8179.9881,-6559.8969,10485.4400,4691.978,10785.585,0.000,0.000,9376.431,0.000
0.882000,-604.888,4688.311,-7456.6720,-7251.2775,10401.1048,4727.171,11027.592,0.000,0.000,9376.471,-0.000
0.922000,-864.239,4679.871,-6686.5469,-7867.8028,10325.3199,4759.002,11259.404,0.000,0.000,9376.512,0.000
0.962000,-1118.513,4654.775,-5876.2942,-8408.5502,10258.3892,4787.275,11481.001,0.000,0.000,9376.555,-0.000
1.002000,-1367.127,4613.526,-5032.1627,-8872.9247,10200.5614,4811.825,11692.403,0.000,0.000,9376.600,0.000
1.042000,-1609.548,4556.591,-4160.0151,-9260.5685,10152.0370,4832.511,11893.652,0.000,0.000,9376.646,0.000
1.082000,-1845.283,4484.403,-3265.3808,-9571.2872,10112.9743,4849.221,12084.810,0.000,0.000,9376.693,0.000
1.122000,-2073.869,4397.363,-2353.5125,-9804.9908,10083.4947,4861.865,12265.940,0.000,0.000,9376.741,0.000
1.162000,-2294.857,4295.836,-1429.4460,-9961.6496,10063.6861,4870.378,12437.105,0.000,0.000,9376.791,0.000
1.202000,-2507.811,4180.159,-498.0605,-10041.2613,10053.6060,4874.715,12598.361,0.000,0.000,9376.842,0.000
1.242000,-2712.291,4050.639,435.8596,-10043.8302,10053.2830,4874.854,12749.748,0.000,0.000,9376.894,0.000
1.282000,-2907.850,3907.562,1367.5632,-9969.3564,10062.7181,4870.794,12891.287,0.000,0.000,9376.947,-0.000
1.322000,-3094.025,3751.196,2292.2699,-9817.8355,10081.8845,4862.557,13022.978,0.000,0.000,9377.001,-0.000
1.362000,-3270.326,3581.795,3205.1086,-9589.2686,10110.7267,4850.184,13144.791,0.000,0.000,9377.056,0.000
1.402000,-3436.235,3399.609,4101.0560,-9283.6825,10149.1587,4833.741,13256.666,0.000,0.000,9377.112,0.000
1.442000,-3591.195,3204.888,4974.8755,-8901.1616,10197.0615,4813.314,13358.509,0.000,0.000,9377.168,0.000
1.482000,-3734.608,2997.896,5821.0577,-8441.8916,10254.2795,4789.016,13450.188,0.000,0.000,9377.226,0.000
1.522000,-3865.826,2778.914,6633.7637,-7906.2173,10320.6150,4760.984,13531.531,0.000,0.000,9377.284,0.000
1.562000,-3984.151,2548.256,7406.7717,-7294.7149,10395.8228,4729.383,13602.320,0.000,0.000,9377.343,0.000
1.602000,-4088.830,2306.278,8133.4302,-6608.2819,10479.6029,4694.406,13662.296,0.000,0.000,9377.402,0.000
1.642000,-4179.053,2053.396,8806.6206,-5848.2458,10571.5915,4656.277,13711.146,0.000,0.000,9377.462,0.000
1.682000,-4253.955,1790.095,9418.7333,-5016.4924,10671.3510,4615.254,13748.513,0.000,0.000,9377.522,0.000
1.722000,-4312.616,1516.951,9961.6627,-4115.6167,10778.3591,4571.630,13773.986,0.000,0.000,9377.583,0.000
1.762000,-4354.070,1234.646,10426.8290,-3149.0951,10891.9954,4525.735,13787.107,0.000,0.000,9377.644,0.000
1.802000,-4377.308,943.985,10805.2343,-2121.4780,11011.5283,4477.938,13787.368,0.000,0.000,9377.705,0.000
1.842000,-4381.296,645.921,11087.5627,-1038.5998,11136.1005,4428.653,13774.215,0.000,0.000,9377.767,0.000
1.882000,-4364.987,341.568,11264.3377,92.2013,11264.7150,4378.331,13747.059,0.000,0.000,9377.828,0.000
1.922000,-4327.349,32.225,11326.1456,1261.8648,11396.2220,4327.469,13705.277,0.000,-0.000,9377.890,0.000
1.962000,-4267.388,-280.614,11263.9374,2459.4066,11529.3090,4276.604,13648.225,0.000,-0.000,9377.952,0.000
2.002000,-4184.188,-595.240,11069.4158,3671.7585,11662.4945,4226.315,13575.257,0.000,-0.000,9378.013,0.000
2.042000,-4076.946,-909.730,10735.5098,4883.6768,11794.1287,4177.212,13485.740,0.000,-0.000,9378.075,0.000
2.082000,-3945.025,-1221.941,10256.9288,6077.7553,11922.4032,4129.935,13379.079,0.000,-0.000,9378.136,0.000
2.122000,-3788.000,-1529.526,9630.7767,7234.5788,12045.3722,4085.143,13254.742,0.000,-0.000,9378.197,-0.000
2.162000,-3605.712,-1829.956,8857.1896,8333.0548,12160.9872,4043.501,13112.292,0.000,-0.000,9378.257,-0.000
2.202000,-3398.321,-2120.557,7939.9432,9350.9467,12267.1473,4005.664,12951.419,0.000,-0.000,9378.318,0.000
2.242000,-3166.352,-2398.562,6886.9594,10265.6220,12361.7638,3972.264,12771.974,0.000,-0.000,9378.377,0.000
2.282000,-2910.729,-2661.180,5710.6339,11054.9946,12442.8391,3943.884,12573.999,0.000,-0.000,9378.436,0.000
2.322000,-2632.802,-2905.673,4427.9042,11698.6149,12508.5541,3921.043,12357.758,0.000,-0.000,9378.495,0.000
2.362000,-2334.348,-3129.440,3059.9963,12178.8206,12557.3583,3904.174,12123.755,0.000,-0.000,9378.553,0.000
2.402000,-2017.549,-3330.113,1631.8196,12481.8383,12588.0547,3893.605,11872.746,0.000,-0.000,9378.610,0.000
2.442000,-1684.954,-3505.637,171.0251,12598.7093,12599.8701,3889.545,11605.739,0.000,-0.000,9378.666,0.000
2.482000,-1339.413,-3654.344,-1293.2050,12525.9227,12592.5025,3892.076,11323.985,0.000,-0.000,9378.722,0.000
2.522000,-983.995,-3775.010,-2731.5254,12265.6697,12566.1404,3901.147,11028.950,0.000,-0.000,9378.776,0.000
2.562000,-621.897,-3866.888,-4115.8128,11825.6847,12521.4509,3916.578,10722.284,0.000,-0.000,9378.830,-0.000
2.602000,-256.345,-3929.714,-5420.4246,11218.6938,12459.5382,3938.066,10405.780,0.000,-0.000,9378.883,0.000
2.642000,109.502,-3963.690,-6623.2106,10461.5476,12381.8777,3965.203,10081.330,0.000,-0.000,9378.934,-0.000
2.682000,472.633,-3969.448,-7706.1999,9574.1495,12290.2342,3997.487,9750.878,0.000,-0.000,9378.985,0.000
2.722000,830.252,-3947.992,-8655.9350,8578.3052,12186.5717,4034.347,9416.385,0.000,-0.000,9379.034,0.000
2.762000,1179.836,-3900.634,-9463.4734,7496.6101,12072.9653,4075.163,9079.789,0.000,-0.000,9379.082,0.000
2.802000,1519.158,-3828.923,-10124.1142,6351.4665,11951.5193,4119.283,8742.985,0.000,-0.000,9379.129,0.000
2.842000,1846.308,-3734.574,-10636.9256,5164.2882,11824.2995,4166.041,8407.801,0.000,-0.000,9379.174,0.000
2.882000,2159.687,-3619.407,-11004.1542,3954.9169,11693.2792,4214.778,8075.997,0.000,-0.000,9379.218,-0.000
2.922000,2457.996,-3485.281,-11230.5891,2741.2456,11560.3010,4264.847,7749.263,0.000,-0.000,9379.260,0.000
2.962000,2740.212,-3334.053,-11322.9383,1539.0267,11427.0528,4315.631,7429.228,0.000,-0.000,9379.301,-0.000
3.002000,3005.561,-3167.538,-11289.2585,361.8297,11295.0555,4366.543,7117.469,0.000,-0.000,9379.341,0.000
3.042000,3253.488,-2987.478,-11138.4608,-778.8888,11165.6606,4417.036,6815.538,0.000,-0.000,9379.379,-0.000
3.082000,3483.623,-2795.520,-10879.9034,-1873.6373,11040.0550,4466.605,6524.975,0.000,-0.000,9379.415,0.000
3.122000,3695.748,-2593.209,-10523.0701,-2914.6958,10919.2700,4514.785,6247.336,0.000,-0.000,9379.450,-0.000
3.162000,3889.773,-2381.977,-10077.3298,-3895.8996,10804.1941,4561.157,5984.206,0.000,-0.000,9379.482,0.000
3.202000,4065.708,-2163.139,-9551.7647,-4812.4184,10695.5869,4605.339,5737.221,0.000,-0.000,9379.514,0.000
3.242000,4223.635,-1937.902,-8955.0580,-5660.5433,10594.0933,4646.994,5508.072,0.000,-0.000,9379.543,0.000
3.282000,4363.693,-1707.363,-8295.4281,-6437.4902,10500.2574,4685.820,5298.502,0.000,-0.000,9379.571,0.000
3.322000,4486.058,-1472.522,-7580.6001,-7141.2217,10414.5353,4721.550,5110.288,0.000,-0.000,9379.597,-0.000
3.362000,4590.928,-1234.285,-6817.8052,-7770.2926,10337.3069,4753.954,4945.203,0.000,-0.000,9379.621,0.000
3.402000,4678.512,-993.477,-6013.8002,-8323.7152,10268.8864,4782.831,4804.959,0.000,-0.000,9379.643,0.000
3.442000,4749.018,-750.852,-5174.9028,-8800.8467,10209.5309,4808.009,4691.124,0.000,-0.000,9379.663,0.000
3.482000,4802.649,-507.100,-4307.0365,-9201.2951,10159.4485,4829.346,4605.038,0.000,-0.000,9379.681,0.000
3.522000,4839.591,-262.860,-3415.7820,-9524.8430,10118.8043,4846.724,4547.710,0.000,-0.000,9379.698,0.000
3.562000,4860.013,-18.729,-2506.4342,-9771.3863,10087.7253,4860.049,4519.738,0.000,-0.000,9379.712,0.000
3.602000,4864.063,224.727,-1584.0604,-9940.8877,10066.3049,4869.252,4521.250,0.000,-0.000,9379.724,0.000
3.642000,4851.865,466.967,-653.5619,-10033.3418,10054.6055,4874.284,4551.886,0.000,-0.000,9379.735,0.000
3.682000,4823.517,707.459,280.2657,-10048.7528,10052.6604,4875.122,4610.824,0.000,-0.000,9379.743,0.000
3.722000,4779.093,945.678,1212.6698,-9987.1213,10060.4751,4871.759,4696.845,0.000,-0.000,9379.750,0.000
3.762000,4718.644,1181.089,2138.8794,-9848.4432,10078.0276,4864.213,4808.422,0.000,-0.000,9379.754,0.000
3.802000,4642.198,1413.147,3054.0426,-9632.7174,10105.2670,4852.524,4943.828,0.000,-0.000,9379.757,0.000
3.842000,4549.766,1641.277,3953.1657,-9339.9642,10142.1127,4836.752,5101.235,-0.000,0.000,9379.757,-0.000
3.882000,4441.343,1864.877,4831.0516,-8970.2556,10188.4516,4816.980,5278.795,-0.000,0.000,9379.755,0.000
3.922000,4316.914,2083.298,5682.2404,-8523.7567,10244.1341,4793.316,5474.710,-0.000,0.000,9379.752,0.000
3.962000,4176.463,2295.845,6500.9516,-8000.7808,10308.9702,4765.894,5687.271,-0.000,0.000,9379.746,0.000
4.002000,4019.978,2501.761,7281.0306,-7401.8598,10382.7229,4734.874,5914.883,-0.000,0.000,9379.738,0.000
4.042000,3847.461,2700.223,8015.9001,-6727.8306,10465.1020,4700.443,6156.069,-0.000,0.000,9379.729,0.000
4.082000,3658.942,2890.336,8698.5211,-5979.9405,10555.7547,4662.821,6409.470,-0.000,0.000,9379.717,0.000
4.122000,3454.489,3071.122,9321.3664,-5159.9723,10654.2567,4622.259,6673.827,-0.000,0.000,9379.703,0.000
4.162000,3234.224,3241.520,9876.4122,-4270.3916,10760.1005,4579.046,6947.962,-0.000,0.000,9379.688,-0.000
4.202000,2998.344,3400.380,10355.1544,-3314.5150,10872.6829,4533.503,7230.761,-0.000,0.000,9379.670,0.000
4.242000,2747.139,3546.461,10748.6587,-2296.7000,10991.2918,4485.996,7521.143,-0.000,0.000,9379.650,0.000
4.282000,2481.012,3678.437,11047.6528,-1222.5522,11115.0918,4436.927,7818.044,-0.000,0.000,9379.629,0.000
4.322000,2200.509,3794.902,11242.6728,-99.1440,11243.1099,4386.744,8120.389,-0.000,0.000,9379.606,0.000
4.362000,1906.339,3894.381,11324.2756,1064.7652,11374.2228,4335.935,8427.072,-0.000,0.000,9379.581,0.000
4.402000,1599.407,3975.349,11283.3268,2258.5239,11507.1453,4285.032,8736.938,-0.000,0.000,9379.554,0.000
4.442000,1280.834,4036.255,11111.3729,3469.4192,11640.4242,4234.606,9048.765,-0.000,0.000,9379.525,0.000
4.482000,951.985,4075.554,10801.1020,4682.5715,11772.4374,4185.262,9361.252,-0.000,0.000,9379.494,0.000
4.522000,614.489,4091.753,10346.8859,5880.9279,11901.4016,4137.637,9673.014,-0.000,0.000,9379.462,0.000
4.562000,270.248,4083.453,9745.3855,7045.3895,12025.3919,4092.386,9982.573,-0.000,0.000,9379.428,0.000
4.602000,-78.558,4049.412,8996.1886,8155.1109,12142.3739,4050.174,10288.370,-0.000,0.000,9379.392,0.000
4.642000,-429.478,3988.605,8102.4262,9187.9997,12250.2510,4011.661,10588.776,-0.000,0.000,9379.355,0.000
4.682000,-779.820,3900.287,7071.3019,10121.4283,12346.9276,3977.481,10882.109,-0.000,0.000,9379.316,0.000
4.722000,-1126.690,3784.057,5914.4543,10933.1469,12430.3850,3948.229,11166.665,-0.000,0.000,9379.276,0.000
4.762000,-1467.052,3639.911,4648.0738,11602.3539,12498.7681,3924.436,11440.755,-0.000,0.000,9379.234,-0.000
4.802000,-1797.803,3468.288,3292.7052,12110.8437,12550.4758,3906.548,11702.743,-0.000,0.000,9379.190,0.000
4.842000,-2115.861,3270.090,1872.7020,12444.1254,12584.2469,3894.914,11951.094,-0.000,0.000,9379.145,0.000
4.882000,-2418.259,3046.684,415.3371,12592.3860,12599.2337,3889.763,12184.414,-0.000,0.000,9379.099,0.000
4.922000,-2702.239,2799.881,-1050.3698,12551.1795,12595.0539,3891.199,12401.488,-0.000,0.000,9379.052,0.000
4.962000,-2965.340,2531.889,-2495.0033,12321.7481,12571.8144,3899.193,12601.320,-0.000,0.000,9379.003,0.000
5.002000,-3205.468,2245.244,-3890.1443,11910.9323,12530.1050,3913.584,12783.144,-0.000,0.000,9378.953,0.000
5.042000,-3420.950,1942.726,-5209.6596,11330.6804,12470.9611,3934.092,12946.443,-0.000,0.000,9378.902,0.000
5.082000,-3610.560,1627.270,-6430.7609,10597.2269,12395.8018,3960.322,13090.943,-0.000,0.000,9378.850,0.000
5.122000,-3773.527,1301.871,-7534.7494,9730.0463,12306.3500,3991.789,13216.599,-0.000,0.000,9378.796,0.000
5.162000,-3909.514,969.499,-8507.4083,8750.7069,12204.5429,4027.931,13323.576,-0.000,0.000,9378.742,-0.000
5.202000,-4018.582,633.020,-9339.0561,7681.7451,12092.4429,4068.134,13412.216,-0.000,0.000,9378.687,0.000
5.242000,-4101.145,295.137,-10024.3146,6545.6555,11972.1547,4111.751,13483.006,-0.000,0.000,9378.631,0.000
