# Spacecraft Trajectory — moon-impact (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
0.005000,6803.499,22.172,49220.5321,4499.0866,49425.7277,6803.535,377596.502,0.000,0.000,384400.000,0.000
0.105000,11339.228,454.401,42608.7333,4352.7491,42830.4866,11348.329,373061.052,0.000,0.000,384400.002,0.000
0.205000,15439.725,863.029,39678.8973,4207.8460,39901.3892,15463.826,368961.294,0.000,0.000,384400.009,-0.000
0.305000,19317.199,1251.830,37959.2972,4099.8474,38180.0602,19357.719,365084.967,0.000,0.000,384400.020,0.000
0.405000,23054.932,1624.290,36808.5637,4018.0764,37027.2238,23112.079,361348.755,0.000,0.000,384400.036,0.000
0.505000,26695.594,1982.784,35976.5024,3954.1981,36193.1542,26769.127,357709.957,0.000,0.000,384400.056,-0.000
0.605000,30264.372,2328.949,35343.0526,3902.8904,35557.8953,30353.850,354143.366,0.000,0.000,384400.080,0.000
0.705000,33777.531,2663.958,34842.6740,3860.7234,35055.9142,33882.418,350632.698,0.000,0.000,384400.109,0.000
0.805000,37246.249,2988.677,34436.2629,3825.4103,34648.0875,37365.964,347166.758,0.000,0.000,384400.142,0.000
0.905000,40678.575,3303.767,34098.9129,3795.3725,34309.4843,40812.514,343737.482,0.000,0.000,384400.180,0.000
1.005000,44080.514,3609.745,33813.9433,3769.4855,34023.4005,44228.068,340338.851,0.000,0.000,384400.221,0.000
1.105000,47456.677,3907.023,33569.7286,3746.9266,33778.1903,47617.234,336966.242,0.000,0.000,384400.268,0.000
1.205000,50810.686,4195.934,33357.8987,3727.0792,33565.4662,50983.641,333616.020,0.000,0.000,384400.318,0.000
1.305000,54145.444,4476.753,33172.2627,3709.4720,33379.0233,54330.198,330285.270,0.000,0.000,384400.373,-0.000
1.405000,57463.313,4749.708,33008.1362,3693.7383,33214.1650,57659.276,326971.619,0.000,0.000,384400.433,0.000
1.505000,60766.245,5014.995,32861.9048,3679.5882,33067.2671,60972.836,323673.104,0.000,0.000,384400.496,0.000
1.605000,64055.872,5272.778,32730.7320,3666.7895,32935.4849,64272.521,320388.084,0.000,0.000,384400.565,0.000
1.705000,67333.572,5523.198,32612.3591,3655.1536,32816.5524,67559.719,317115.168,0.000,0.000,384400.637,0.000
1.805000,70600.519,5766.378,32504.9633,3644.5260,32708.6412,70835.615,313853.172,0.000,0.000,384400.714,0.000
1.905000,73857.724,6002.427,32407.0567,3634.7787,32610.2582,74101.232,310601.076,0.000,0.000,384400.795,-0.000
2.005000,77106.064,6231.438,32317.4123,3625.8048,32520.1722,77357.455,307357.992,0.000,0.000,384400.881,0.000
2.105000,80346.301,6453.494,32235.0083,3617.5141,32437.3577,80605.060,304123.149,0.000,0.000,384400.971,0.000
2.205000,83579.106,6668.670,32158.9869,3609.8302,32360.9535,83844.726,300895.867,0.000,0.000,384401.066,0.000
2.305000,86805.070,6877.032,32088.6221,3602.6876,32290.2311,87077.056,297675.543,0.000,0.000,384401.164,0.000
2.405000,90024.717,7078.639,32023.2954,3596.0303,32224.5695,90302.584,294461.646,0.000,0.000,384401.268,0.000
2.505000,93238.514,7273.545,31962.4763,3589.8095,32163.4361,93521.789,291253.697,0.000,0.000,384401.375,0.000
2.605000,96446.880,7461.797,31905.7070,3583.9831,32106.3713,96735.097,288051.270,0.000,0.000,384401.487,0.000
2.705000,99650.189,7643.441,31852.5905,3578.5141,32052.9763,99942.895,284853.981,0.000,0.000,384401.604,0.000
2.805000,102848.779,7818.515,31802.7806,3573.3702,32002.9034,103145.531,281661.482,0.000,0.000,384401.724,0.000
2.905000,106042.957,7987.057,31755.9738,3568.5227,31955.8481,106343.320,278473.457,0.000,0.000,384401.849,0.000
3.005000,109232.999,8149.099,31711.9033,3563.9465,31911.5422,109536.551,275289.621,0.000,0.000,384401.979,0.000
